,To,Ti_sp2,Φo,Φi,Qa,Φa,Etot
2000-02-04 22:00:00+01:00,4.0,20,0.0,0.0,3500.0,0.0,0.0
2000-02-04 23:00:00+01:00,6.0,18,0.0,0.0,3500.0,0.0,0.0
2000-02-05 00:00:00+01:00,8.0,18,0.0,0.0,3500.0,0.0,0.0
2000-02-05 01:00:00+01:00,8.0,18,0.0,0.0,3500.0,0.0,0.0
2000-02-05 02:00:00+01:00,8.0,18,0.0,0.0,3500.0,0.0,0.0
2000-02-05 03:00:00+01:00,8.0,18,0.0,0.0,3500.0,0.0,0.0
2000-02-05 04:00:00+01:00,8.0,18,0.0,0.0,3500.0,0.0,0.0
2000-02-05 05:00:00+01:00,8.0,18,0.0,0.0,3500.0,0.0,0.0
2000-02-05 06:00:00+01:00,8.4,20,0.0,0.0,3500.0,0.0,0.0
2000-02-05 07:00:00+01:00,9.0,20,0.0,0.0,3500.0,0.0,0.0
2000-02-05 08:00:00+01:00,9.0,20,217.35000000000002,6.0375000000000005,3500.0,30.59,16.1
2000-02-05 09:00:00+01:00,10.0,20,3058.951150086354,84.9708652801765,3500.0,430.51905075289426,226.58897408047068
2000-02-05 10:00:00+01:00,11.0,20,5733.84198593018,159.27338849806057,3500.0,806.9851683901735,424.72903599482817
2000-02-05 11:00:00+01:00,11.0,20,8090.8229734165525,224.74508259490426,3500.0,1138.7084184808482,599.320220253078
2000-02-05 12:00:00+01:00,11.0,20,9582.248694849888,266.1735748569413,3500.0,1348.6127792751693,709.7961996185102
2000-02-05 13:00:00+01:00,11.0,20,9060.072107684751,251.66866965790973,3500.0,1275.121259600076,671.1164524210926
2000-02-05 14:00:00+01:00,12.0,20,6551.181345029317,181.9772595841477,3500.0,922.0181152263483,485.27269222439384
2000-02-05 15:00:00+01:00,12.0,20,3960.357741801764,110.00993727227123,3500.0,557.3836821795076,293.3598327260566
2000-02-05 16:00:00+01:00,11.0,20,1435.4894143733245,39.87470595481457,3500.0,202.0318435043938,106.33254921283886
2000-02-05 17:00:00+01:00,10.0,20,113.4,3.1500000000000004,3500.0,15.959999999999999,8.4
2000-02-05 18:00:00+01:00,8.3,20,0.0,0.0,3500.0,0.0,0.0
2000-02-05 19:00:00+01:00,7.0,20,0.0,0.0,3500.0,0.0,0.0
2000-02-05 20:00:00+01:00,6.0,20,0.0,0.0,3500.0,0.0,0.0
2000-02-05 21:00:00+01:00,7.0,20,0.0,0.0,3500.0,0.0,0.0
2000-02-05 22:00:00+01:00,7.0,20,0.0,0.0,3500.0,0.0,0.0
2000-02-05 23:00:00+01:00,6.0,18,0.0,0.0,3500.0,0.0,0.0
2000-02-06 00:00:00+01:00,5.2,18,0.0,0.0,3500.0,0.0,0.0
2000-02-06 01:00:00+01:00,5.0,18,0.0,0.0,3500.0,0.0,0.0
2000-02-06 02:00:00+01:00,5.0,18,0.0,0.0,3500.0,0.0,0.0
2000-02-06 03:00:00+01:00,4.9,18,0.0,0.0,3500.0,0.0,0.0
2000-02-06 04:00:00+01:00,5.0,18,0.0,0.0,3500.0,0.0,0.0
2000-02-06 05:00:00+01:00,4.0,18,0.0,0.0,3500.0,0.0,0.0
2000-02-06 06:00:00+01:00,5.0,20,0.0,0.0,3500.0,0.0,0.0
2000-02-06 07:00:00+01:00,3.0,20,0.0,0.0,3500.0,0.0,0.0
2000-02-06 08:00:00+01:00,4.0,20,236.25,6.5625,3500.0,33.25,17.5
2000-02-06 09:00:00+01:00,6.6,20,3184.007816332109,88.4446615647808,3500.0,448.1196185948894,235.8524308394155
2000-02-06 10:00:00+01:00,9.0,20,6734.315245478177,187.06431237439378,3500.0,947.7925160302618,498.83816633171676
2000-02-06 11:00:00+01:00,11.0,20,8754.063529899548,243.16843138609855,3500.0,1232.0533856895659,648.4491503629295
2000-02-06 12:00:00+01:00,12.9,20,9556.14359995323,265.44843333203414,3500.0,1344.9387288823063,707.8624888854245
2000-02-06 13:00:00+01:00,12.0,20,7527.171140545911,209.08808723738642,3500.0,1059.3796420027577,557.5682326330304
2000-02-06 14:00:00+01:00,13.0,20,4714.545181104097,130.95958836400268,3500.0,663.5285810442801,349.2255689706738
2000-02-06 15:00:00+01:00,13.3,20,1957.4417812388135,54.37338281218926,3500.0,275.4918062484256,144.99568749917137
2000-02-06 16:00:00+01:00,12.0,20,793.5406900469277,22.04279694574799,3500.0,111.68350452512315,58.780791855327976
2000-02-06 17:00:00+01:00,12.0,20,103.95,2.8875,3500.0,14.629999999999999,7.7
2000-02-06 18:00:00+01:00,9.5,20,0.0,0.0,3500.0,0.0,0.0
2000-02-06 19:00:00+01:00,9.0,20,0.0,0.0,3500.0,0.0,0.0
2000-02-06 20:00:00+01:00,9.0,20,0.0,0.0,3500.0,0.0,0.0
2000-02-06 21:00:00+01:00,7.3,20,0.0,0.0,3500.0,0.0,0.0
2000-02-06 22:00:00+01:00,6.0,20,0.0,0.0,3500.0,0.0,0.0
2000-02-06 23:00:00+01:00,5.0,18,0.0,0.0,3500.0,0.0,0.0
2000-02-07 00:00:00+01:00,5.4,18,0.0,0.0,3500.0,0.0,0.0
2000-02-07 01:00:00+01:00,4.0,18,0.0,0.0,3500.0,0.0,0.0
2000-02-07 02:00:00+01:00,3.0,18,0.0,0.0,3500.0,0.0,0.0
2000-02-07 03:00:00+01:00,3.6,18,0.0,0.0,3500.0,0.0,0.0
2000-02-07 04:00:00+01:00,2.0,18,0.0,0.0,3500.0,0.0,0.0
2000-02-07 05:00:00+01:00,2.0,18,0.0,0.0,3500.0,0.0,0.0
2000-02-07 06:00:00+01:00,2.8,20,0.0,0.0,3500.0,0.0,0.0
2000-02-07 07:00:00+01:00,3.0,20,0.0,0.0,3500.0,0.0,0.0
2000-02-07 08:00:00+01:00,3.6,20,132.3,3.6750000000000003,3500.0,18.62,9.8
2000-02-07 09:00:00+01:00,4.2,20,368.55,10.2375,3500.0,51.87,27.3
2000-02-07 10:00:00+01:00,4.0,20,680.4,18.9,3500.0,95.75999999999999,50.4
2000-02-07 11:00:00+01:00,4.0,20,926.0999999999999,25.724999999999998,3500.0,130.33999999999997,68.6
2000-02-07 12:00:00+01:00,4.6,20,1039.5,28.875,3500.0,146.29999999999998,77.0
2000-02-07 13:00:00+01:00,5.0,20,1739.4860682806066,48.319057452239065,3500.0,244.81655775801127,128.85081987263752
2000-02-07 14:00:00+01:00,6.0,20,2153.9626113237464,59.83229475899296,3500.0,303.1502934455643,159.5527860239812
2000-02-07 15:00:00+01:00,6.0,20,1939.4962509936308,53.87489586093419,3500.0,272.9661390287332,143.66638896249117
2000-02-07 16:00:00+01:00,6.0,20,734.1519898613747,20.39311082948263,3500.0,103.32509486937866,54.38162887862035
2000-02-07 17:00:00+01:00,5.0,20,94.5,2.625,3500.0,13.299999999999999,7.0
2000-02-07 18:00:00+01:00,4.2,20,0.0,0.0,3500.0,0.0,0.0
